annId,animeType,animeJPName,songType,songArtist,songName,animeVintage,annSongId,anilistId,audio,HQ,MQ,songLength
15149,TV,Non Non Biyori,Opening 1,nano.RIPE,Nana-iro Biyori,Fall 2013,13151,17549,ftc0wv.mp3,xw4dif.webm,,90.096
22215,TV,Non Non Biyori Nonstop,Ending 1,"Kotori Koiwai, Rie Murakawa, Ayane Sakura, Kana Asumi",Tadaima,Winter 2021,31680,109403,q23sx7.mp3,atpojy.webm,,89.04
22215,TV,Non Non Biyori Nonstop,Opening 1,nano.RIPE,Tsugihagi Moyou,Winter 2021,31679,109403,yd4jg4.mp3,emaucu.webm,,89.04
16655,TV,Non Non Biyori Repeat,Ending 1,"Ayane Sakura, Kana Asumi, Kotori Koiwai, Rie Murakawa",Okaeri,Summer 2015,14888,20694,ys61c7.mp3,me1l4j.webm,,93.552
16655,TV,Non Non Biyori Repeat,Opening 1,nano.RIPE,Kodama Kotodama,Summer 2015,14887,20694,d0n81o.mp3,vzhbzy.webm,,90.096
15585,TV,Noragami,Opening 1,Hello Sleepwalkers,Goya no Machiawase,Winter 2014,13551,20447,4xappz.mp3,cnduhh.webm,bmpzul.webm,89.544
15585,TV,Noragami,Ending 1,Tia,Heart Realize,Winter 2014,13552,20447,5m0a9l.mp3,x8u24s.webm,,93.096
16906,TV,Noragami Aragoto,Ending 1,Tia,Nirvana,Fall 2015,15163,21128,lpudo6.mp3,8pj63d.webm,,89.592
16906,TV,Noragami Aragoto,Opening 1,THE ORAL CIGARETTES,Kyouran Hey Kids!!,Fall 2015,15162,21128,z0hzhp.mp3,dlvkgy.webm,,90.096
17552,TV,Norn9,Ending 1,Maria Andersson,Vid en Horisont,Winter 2016,18037,,72uyir.mp3,otwmhw.webm,,186.096
17552,TV,Norn9,Opening 1,Nagi Yanagi,Kazakiri,Winter 2016,15415,,uzarpp.mp3,pcs4m3.webm,833bd5.webm,88.8
17552,TV,Norn9,Ending 2,Kaori Oda,Zero Tokei,Winter 2016,15416,,of41bk.mp3,saf30z.webm,k4lqjb.webm,87.912
25398,TV,Noumin Kanren no Skill Bakka Agetetara Nazeka Tsuyoku Natta.,Opening 1,7ORDER,Growing up,Fall 2022,37921,145815,sbhcbh.mp3,7s5ges.webm,,88.368
25398,TV,Noumin Kanren no Skill Bakka Agetetara Nazeka Tsuyoku Natta.,Ending 1,Pop Shinanaide,Rolling Soul Happy Days,Fall 2022,37983,145815,66zjh4.mp3,jm87d5.webm,,88.92
15508,TV,Nourin,Ending 2,Kana Hanazawa,Minori no Zokkon Mirai Yohou♡,Winter 2014,13453,18095,vqa44u.mp3,br9dnr.webm,bcgb5x.webm,89.04
15508,TV,Nourin,Opening 2,Yukari Tamura,Himitsu no Tobira kara Ai ni Kite,Winter 2014,13450,18095,6juu3i.mp3,i08ewe.webm,,88.08
15508,TV,Nourin,Ending 4,Marina Inoue,Kimi to∗New∗DAY♡,Winter 2014,13455,18095,8j6isc.mp3,jpxyha.webm,k1zy93.webm,87.024
15508,TV,Nourin,Opening 1,Yukari Tamura,Cordless☆Tele☆PHONE,Winter 2014,13457,18095,zz35tb.mp3,mfuje8.webm,n1e94o.webm,101.04
15508,TV,Nourin,Ending 3,Chiwa Saito,Ponytail no Shijuu,Winter 2014,13454,18095,rr26v0.mp3,mqx2vh.webm,,88.536
15508,TV,Nourin,Ending 5,Yukari Tamura,Cordless☆Tele☆PHONE,Winter 2014,13456,18095,v5lf8y.mp3,od232g.webm,,67.032
15508,TV,Nourin,Ending 1,Yukari Tamura & Kana Hanazawa,Mo・Gi・Ta・Te♡Fruit Girls,Winter 2014,13452,18095,4ndzfr.mp3,r54xl9.webm,,88.536
16241,OVA,Nozo × Kimi,Opening 1,MimimemeMIMI,Tentekomai,Summer 2014,19554,20804,57z738.mp3,64o9qp.webm,,39.184
25566,TV,Nozomanu Fushi no Boukensha,Ending 1,Mao Abe,Keep Your Fire Burning,Winter 2024,42096,147642,xvrrfr.mp3,2052w0.webm,,87.552
25566,TV,Nozomanu Fushi no Boukensha,Opening 1,JUVENILE,IMMORTAL,Winter 2024,41512,147642,tt0hqf.mp3,gy9yef.webm,,88.101
19054,TV,NTR: Netsuzou Trap,Ending 1,Akira Ouse,Virginal lily,Summer 2017,16480,97833,vus1px.mp3,04173a.webm,,30.075
19054,TV,NTR: Netsuzou Trap,Ending 2,SoundOrion,Meguru Omoi Meguru,Summer 2017,16481,97833,wzelhg.mp3,0gh05w.webm,pmtpdm.webm,29.88
19054,TV,NTR: Netsuzou Trap,Ending 3,Confetti Smile,LAST ETERNAL,Summer 2017,16482,97833,cnczx1.mp3,98r2pg.webm,,29.928
19054,TV,NTR: Netsuzou Trap,Opening 1,Haruka Tojo,Blue Bud Blue,Summer 2017,16479,97833,cwkafa.mp3,nj3q6a.webm,,88.416
22507,ONA,Null Peta,Opening 1,Azumi Waki & Reina Ueda,#NULL!*Peta,Fall 2019,26458,110789,1nqod8.mp3,7tmstg.webm,,60.384
